번호                                                                                                                                       (01.6월 기준),주소
177,서울특별시 종로구 종로 종로4가 종묘 버스정류장(01-018)
178,서울특별시 종로구 종로 종로4가 종묘 버스정류장(01-018)
179,서울특별시 종로구 창경궁로 창경궁로 185
180,서울특별시 종로구 창경궁로 창경궁로 185
181,서울특별시 종로구 창경궁로 연건동8-7
182,서울특별시 종로구 창경궁로 연건동8-7
183,서울특별시 종로구 대학로 이화동 99(대학고삼거리)
184,서울특별시 종로구 대학로 이화동 99(대학고삼거리)
185,서울특별시 종로구 종로 종로5가 광장시장 버스정류장(01-019)
186,서울특별시 종로구 종로 종로5가 광장시장 버스정류장(01-019)
187,서울특별시 종로구 지봉로 구민회관 입구
188,서울특별시 종로구 지봉로 구민회관 입구
189,서울특별시 종로구 지봉로 창신초교앞횡단보도
190,서울특별시 종로구 지봉로 창신초교앞횡단보도
191,서울특별시 종로구 지봉로 창신역1번출구
192,서울특별시 종로구 지봉로 창신역번출구
193,서울특별시 종로구 종로 롯데캐슬앞
194,서울특별시 종로구 종로 세종로 kt앞 버스정류장
195,서울특별시 종로구 종로 창신동FS
196,서울특별시 종로구 종로 창신3동FS
197,서울특별시 종로구 종로 종로300 동일빌딩앞
198,서울특별시 종로구 종로 종로30동일빌딩앞
199,서울특별시 종로구 종로 종로 413(우리은행앞)
200,서울특별시 종로구 종로 종로 413(우리은행앞)
201,서울특별시 종로구 종로 동대문역 버스정류장(01-037)
202,서울특별시 중구 서소문로 시청.서소문청사 버스정류장 0-135
203,서울특별시 중구 서소문로 시청.서소문청사 버스정류장 0-135
204,서울특별시 중구 서소문로 시청역 11번출구 
205,서울특별시 중구 서소문로 시청역 11번출구 
206,서울특별시 중구 새문안로 정동사거리 삼성병원 맞은편 충정로1가(51-5)
207,서울특별시 중구 새문안로 정동사거리 삼성병원 맞은편 충정로1가(51-5)
208,서울특별시 중구 청파로 한국경제신문사.서소문역사공원(0-108)
209,서울특별시 중구 청파로 한국경제신문사.서소문역사공원(0-108)
210,서울특별시 중구 퇴계로 남대문시장.회현역 0-145
211,서울특별시 중구 퇴계로 남대문시장.회현역 0-145
212,서울특별시 중구 퇴계로 티마크 호텔 앞 버스정류장 0-146
213,서울특별시 중구 퇴계로 티마크 호텔 앞 버스정류장 0-146
214,서울특별시 중구 퇴계로 회현역 3번출구앞 (퇴계로 48-1)
215,서울특별시 중구 퇴계로 회현역 3번출구앞 (퇴계로 48-1)
216,서울특별시 중구 칠패로 염천교 0-116
217,서울특별시 중구 칠패로 염천교 0-116
218,서울특별시 중구 만리재로 손기정 체육공원 입구 버스정류장(0-10)
219,서울특별시 중구 만리재로 손기정 체육공원 입구 버스정류장(0-10)
220,서울특별시 중구 서소문로 종근당 충정로역 버스정류장(0-107)
221,서울특별시 중구 서소문로 종근당 충정로역 버스정류장(0-107)
222,서울특별시 중구 통일로 서울역 우체국 옆 버스정류장(0-685)
223,서울특별시 중구 통일로 서울역 우체국 옆 버스정류장(0-685)
224,서울특별시 중구 퇴계로 명동역 번 출구 뒤
225,서울특별시 중구 퇴계로 명동역 번 출구 뒤
226,서울특별시 중구 퇴계로 명동역 4번 출귀 뒤(버스정류장 0-149)
